type	chrom	n_events	n_lanes
Gain	chr1	6	4
Gain	chr10	2	1
Gain	chr11	3	3
Gain	chr12	29	29
Gain	chr13	5	4
Gain	chr14	17	14
Gain	chr15	25	25
Gain	chr16	3	3
Gain	chr17	8	8
Gain	chr18	10	9
Gain	chr19	7	5
Gain	chr2	3	2
Gain	chr20	1	1
Gain	chr21	6	6
Gain	chr22	10	9
Gain	chr3	13	12
Gain	chr4	0	0
Gain	chr5	8	6
Gain	chr6	1	1
Gain	chr7	4	4
Gain	chr8	10	9
Gain	chr9	29	19
CN-LOH	chr1	21	11
CN-LOH	chr10	3	3
CN-LOH	chr11	17	9
CN-LOH	chr12	9	8
CN-LOH	chr13	12	8
CN-LOH	chr14	23	20
CN-LOH	chr15	7	7
CN-LOH	chr16	7	7
CN-LOH	chr17	13	9
CN-LOH	chr18	6	5
CN-LOH	chr19	7	6
CN-LOH	chr2	10	8
CN-LOH	chr20	11	8
CN-LOH	chr21	1	1
CN-LOH	chr22	5	5
CN-LOH	chr3	12	6
CN-LOH	chr4	7	5
CN-LOH	chr5	6	4
CN-LOH	chr6	10	4
CN-LOH	chr7	4	3
CN-LOH	chr8	4	3
CN-LOH	chr9	5	2
Loss	chr1	13	7
Loss	chr10	4	2
Loss	chr11	24	18
Loss	chr12	1	1
Loss	chr13	24	23
Loss	chr14	8	5
Loss	chr15	1	1
Loss	chr16	4	2
Loss	chr17	8	4
Loss	chr18	4	2
Loss	chr19	3	2
Loss	chr2	12	7
Loss	chr20	14	14
Loss	chr21	0	0
Loss	chr22	8	5
Loss	chr3	8	5
Loss	chr4	11	7
Loss	chr5	12	9
Loss	chr6	6	4
Loss	chr7	11	5
Loss	chr8	4	4
Loss	chr9	20	13
