sample_id	chrom	beg_GRCh38	end_GRCh38	length	type	cf
S085	chr1	35000000	53000000	18000000	Gain	0.073
S051	chr3	47500000	91500000	44000000	Gain	0.216
S052	chr3	49000000	91000000	42000000	Gain	0.231
S054	chr3	51000000	86000000	35000000	Gain	0.151
S058	chr3	51500000	93500000	42000000	Gain	0.237
S056	chr3	52000000	93000000	41000000	Gain	0.136
S060	chr3	53500000	100500000	47000000	Gain	0.208
S053	chr3	55500000	103500000	48000000	Gain	0.143
S050	chr3	57500000	90500000	33000000	Gain	0.087
S050	chr3	57500000	94500000	37000000	Gain	0.118
S059	chr3	59000000	105000000	46000000	Gain	0.222
S055	chr3	64500000	88500000	24000000	Gain	0.22
S057	chr3	65000000	111000000	46000000	Gain	0.174
S061	chr3	67000000	96000000	29000000	Gain	0.229
S086	chr7	38000000	51000000	13000000	Gain	0.144
S084	chr7	123000000	140000000	17000000	Gain	0.12
S066	chr8	19000000	57000000	38000000	Gain	0.138
S071	chr8	21000000	59000000	38000000	Gain	0.18
S064	chr8	23000000	49000000	26000000	Gain	0.238
S065	chr8	27000000	51000000	24000000	Gain	0.169
S062	chr8	29000000	60000000	31000000	Gain	0.233
S070	chr8	32000000	60000000	28000000	Gain	0.189
S073	chr8	32500000	52500000	20000000	Gain	0.106
S063	chr8	32500000	66500000	34000000	Gain	0.187
S072	chr8	35500000	68500000	33000000	Gain	0.171
S069	chr8	39500000	57500000	18000000	Gain	0.194
S067	chr8	40000000	64000000	24000000	Gain	0.082
S068	chr8	41000000	58000000	17000000	Gain	0.185
S080	chr12	38500000	76500000	38000000	Gain	0.137
S083	chr12	41500000	81500000	40000000	Gain	0.217
S075	chr12	43500000	82500000	39000000	Gain	0.071
S074	chr12	45000000	70000000	25000000	Gain	0.127
S079	chr12	48500000	79500000	31000000	Gain	0.205
S076	chr12	52000000	93000000	41000000	Gain	0.12
S077	chr12	53000000	77000000	24000000	Gain	0.107
S078	chr12	54000000	74000000	20000000	Gain	0.164
S082	chr12	54500000	83500000	29000000	Gain	0.15
S081	chr12	54500000	86500000	32000000	Gain	0.206
S093	chr13	78000000	101000000	23000000	Gain	0.087
S089	chr15	60000000	69000000	9000000	Gain	0.102
S088	chr15	70000000	80000000	10000000	Gain	0.086
S090	chr18	34000000	57000000	23000000	Gain	0.084
S087	chr18	48000000	72000000	24000000	Gain	0.091
S091	chr18	57000000	75000000	18000000	Gain	0.114
S092	chr21	15000000	30000000	15000000	Gain	0.16
S002	chr1	30000000	89000000	59000000	CN-LOH	0.131
S014	chr1	33500000	78500000	45000000	CN-LOH	0.15
S016	chr1	34000000	83000000	49000000	CN-LOH	0.199
S001	chr1	38000000	95000000	57000000	CN-LOH	0.123
S011	chr1	41500000	101500000	60000000	CN-LOH	0.126
S001	chr1	45000000	89000000	44000000	CN-LOH	0.203
S006	chr1	45000000	99000000	54000000	CN-LOH	0.196
S007	chr1	47500000	85500000	38000000	CN-LOH	0.065
S017	chr1	49000000	94000000	45000000	CN-LOH	0.185
S005	chr1	49000000	103000000	54000000	CN-LOH	0.199
