type	chrom	n_events	n_lanes
Gain	chr1	1	1
Gain	chr10	0	0
Gain	chr11	0	0
Gain	chr12	10	10
Gain	chr13	1	1
Gain	chr14	0	0
Gain	chr15	2	1
Gain	chr16	0	0
Gain	chr17	0	0
Gain	chr18	3	2
Gain	chr19	0	0
Gain	chr2	0	0
Gain	chr20	0	0
Gain	chr21	1	1
Gain	chr22	0	0
Gain	chr3	13	13
Gain	chr4	0	0
Gain	chr5	0	0
Gain	chr6	0	0
Gain	chr7	2	1
Gain	chr8	12	12
Gain	chr9	0	0
CN-LOH	chr1	18	18
CN-LOH	chr10	0	0
CN-LOH	chr11	3	1
CN-LOH	chr12	0	0
CN-LOH	chr13	0	0
CN-LOH	chr14	10	10
CN-LOH	chr15	0	0
CN-LOH	chr16	0	0
CN-LOH	chr17	3	3
CN-LOH	chr18	0	0
CN-LOH	chr19	0	0
CN-LOH	chr2	1	1
CN-LOH	chr20	1	1
CN-LOH	chr21	0	0
CN-LOH	chr22	1	1
CN-LOH	chr3	0	0
CN-LOH	chr4	0	0
CN-LOH	chr5	0	0
CN-LOH	chr6	0	0
CN-LOH	chr7	1	1
CN-LOH	chr8	0	0
CN-LOH	chr9	12	12
Loss	chr1	0	0
Loss	chr10	0	0
Loss	chr11	12	12
Loss	chr12	0	0
Loss	chr13	1	1
Loss	chr14	0	0
Loss	chr15	0	0
Loss	chr16	1	1
Loss	chr17	9	9
Loss	chr18	2	2
Loss	chr19	2	2
Loss	chr2	1	1
Loss	chr20	0	0
Loss	chr21	0	0
Loss	chr22	0	0
Loss	chr3	0	0
Loss	chr4	0	0
Loss	chr5	12	11
Loss	chr6	2	1
Loss	chr7	0	0
Loss	chr8	0	0
Loss	chr9	0	0
Undetermined	chr1	0	0
Undetermined	chr10	2	1
Undetermined	chr11	0	0
Undetermined	chr12	0	0
Undetermined	chr13	0	0
Undetermined	chr14	0	0
Undetermined	chr15	1	1
Undetermined	chr16	0	0
Undetermined	chr17	0	0
Undetermined	chr18	5	5
Undetermined	chr19	0	0
Undetermined	chr2	7	7
Undetermined	chr20	0	0
Undetermined	chr21	1	1
Undetermined	chr22	0	0
Undetermined	chr3	1	1
Undetermined	chr4	0	0
Undetermined	chr5	0	0
Undetermined	chr6	2	1
Undetermined	chr7	6	6
Undetermined	chr8	0	0
Undetermined	chr9	0	0
